"标题","标题链接","brief","keywords","发布时间","新闻类别","采集时的时间"
"电子烟纳入监管成共识 “参照卷烟执行”引热议","https://news.cctv.com/2021/04/21/ARTIQshftwbASV7blGXspQ8s210421.shtml","一路狂飙的电子烟，即将迎来“史上最严监管”。","电子消费品,监管框架,热议","2021-04-21","法治","2021-04-24 17:05:14"
"“祖传秘方”销往三省，“神药”背后的山寨真相","https://news.cctv.com/2021/04/21/ARTI5FVaFWv3BmMbii1Z0MgO210421.shtml","3000多瓶“神药”出自河南，途经安徽，最后在鲁北群众中流传。它究竟有什么神奇之处？经过办案部门的深挖细查，神秘面纱终于揭开，真相浮出水面。","神药,山寨,祖传秘方","2021-04-21","法治","2021-04-24 17:05:14"
"上海海关破获走私进口钻石案 案值超4000万","https://news.cctv.com/2021/04/20/ARTIQC7bu13SM9vKjjPslsUJ210420.shtml","据上海海关20日透露，经前期线索经营，近日，在北京、广州海关和地方公安的大力协助下，上海海关缉私部门出动警力110余名，分成20个行动组，在上海、北京、广东等地同时开展集中抓捕行动，成功破获一起钻石走私案，案值超4000万元。","上海海关,走私团伙,走私进口","2021-04-20","法治","2021-04-24 17:05:14"
"快递包装污染治理仍存在短板","https://news.cctv.com/2021/04/20/ARTIvAgO6DvwJwW7mgK6xw8X210420.shtml","当前，快递包装污染治理仍存在短板，包装垃圾总体回收率不足20%，绿色快递成本压力大、过度包装等问题仍待解决。","湖南,快递包装,污染治理","2021-04-20","法治","2021-04-24 17:05:14"
"江西省高级人民法院：曾春亮尚未执行死刑，仍在死刑复核中","https://news.cctv.com/2021/04/20/ARTIAGKFMozKfMn5kne9g3Av210420.shtml","据@江西省高级人民法院 20日发布的消息，曾春亮尚未执行死刑，仍在死刑复核中！","曾春亮","2021-04-20","法治","2021-04-24 17:05:14"
"广州男子8次盗窃共享单车 获刑1年","https://news.cctv.com/2021/04/20/ARTISn82JEhMqYttkR2Rw0G4210420.shtml","广州市白云区人民法院近日审理了一起盗窃案，被告人左某先后8次盗窃共享单车，被判处有期徒刑一年，并处罚金5000元。","盗窃,共享单车","2021-04-20","法治","2021-04-24 17:05:14"
"云南玉溪致5死1伤交通事故进展：18人被立案","https://news.cctv.com/2021/04/20/ARTIrbp6sZMfZy49LDqTpv0u210420.shtml","肇事车所有人李某某、驾驶员李某因涉嫌交通肇事罪，2021年2月22日，被华宁县公安局依法刑事拘留，2021年3月5日，经检察机关批准，被依法逮捕。","超限超载车辆,驾驶人,立案","2021-04-20","法治","2021-04-24 17:05:14"
"信息泄露无孔不入 黑客内鬼让你成“透明人”","https://news.cctv.com/2021/04/20/ARTI4fHEj2wamVjNrJoqT6rn210420.shtml","从上游个人信息被非法获取、到中游数据在各种黑市交易平台被转手和出售、再到下游各种隐私数据被用于诈骗、勒索，个人信息泄露背后已然形成了一条完整的黑灰产业链，滋生着巨大的非法获利空间，严重威胁着个人、企业甚至国家安全。","信息泄露,个人信息,黑客","2021-04-20","法治","2021-04-24 17:05:14"
"纠纷频发维权难，校外培训班到底有多少“坑”？","https://news.cctv.com/2021/04/20/ARTI4EZt6IZFTNQgvHN6yY3w210420.shtml","近日，教育部党组书记、部长陈宝生赴北京市调研教育综合改革及党史学习教育情况时强调，北京要扎实推进减轻义务教育阶段学生作业负担和校外培训负担工作，严格规范管理校外培训机构，打出政策组合拳。","少儿英语培训,教学质量,违约金","2021-04-20","法治","2021-04-24 17:05:14"
"警方通报“特斯拉遭车主维权”：一涉事女子被行拘5日","https://news.cctv.com/2021/04/20/ARTIe7TpkbDxnjJtukMwOVPU210420.shtml","上海市公安局青浦分局官方微博20日发布通报称，“特斯拉车展遭遇车主维权”事件涉事女子张某因扰乱公共秩序被处以行政拘留五日，李某因扰乱公共秩序被处以行政警告。","特斯拉,车主,维权","2021-04-20","法治","2021-04-24 17:05:14"
"网络占卜非“法外之地” 专家建议出台禁止性规定","https://news.cctv.com/2021/04/20/ARTIMmYJ9uQg2lSK51lj0AS9210420.shtml","近日，广东深圳一家以塔罗牌占卜为名实施营销活动的线上商铺被警方调查，再次引起人们对于网络占卜的关注。很多人心存疑虑，网络占卜究竟算的是“命”还是“钱”？","占卜,算命,营销","2021-04-20","法治","2021-04-24 17:05:14"
"云南楚雄监狱原监狱长耿军华接受纪律审查和监察调查","https://news.cctv.com/2021/04/19/ARTIT14WJkbHh9tPwDAyhfFE210419.shtml","据云南省纪委监委官方微信《清风云南》消息，云南省楚雄监狱原监狱长耿军华涉嫌严重违纪违法，目前正在接受纪律审查和监察调查。","耿军华,监狱长,云南楚雄","2021-04-19","法治","2021-04-24 17:05:14"
"全家出动行骗 内蒙古警方破获特大网络虚假投资诈骗案","https://news.cctv.com/2021/04/19/ARTI2XPSwI1IKcM3qrKZmTgz210419.shtml","19日，记者从内蒙古自治区通辽市科左后旗公安局获悉，该局破获一起特大网络虚假投资诈骗案，抓获犯罪嫌疑人18名，依法扣押及冻结涉案资金200余万元。","投资理财,诈骗案","2021-04-19","法治","2021-04-24 17:05:14"
"走私冻肉82吨 多名货运司机被拘","https://news.cctv.com/2021/04/19/ARTIBdz9Gi7WVMoY2NJsvdXu210419.shtml","近日，广州增城警方在开展“飓风2021”打击走私专项行动中，通过智慧新警务加强对重点区域的防控查缉，集中收网抓获走私犯罪嫌疑人15名，查缴走私冻肉制品82吨。警方提醒货运司机，装运不明来源冻品时，一定要了解冻品来源和检疫情况，发...","货运司机,走私犯罪,冻肉","2021-04-19","法治","2021-04-24 17:05:14"
"科学构建法治社会新格局","https://news.cctv.com/2021/04/19/ARTIVEFR2wZmDmHxrORz22Ng210419.shtml","新时期对法制工作实施提出了新的更高要求。《关于加强社会主义法治文化建设的意见》的印发是为全面建设社会主义现代化国家、实现中华民族伟大复兴的中国梦夯实法治基础的有力举措。","法治社会,文化建设,社会主义现代化","2021-04-19","法治","2021-04-24 17:05:14"
"网络差评的“红”与“黑”","https://news.cctv.com/2021/04/19/ARTIXPtRV9CqcT4BhN9jXIQL210419.shtml","不能让职业差评师恣意妄为，但也要充分保障消费者的“差评权”。","差评,职业,职业差评师","2021-04-19","法治","2021-04-24 17:05:14"
"全民国家安全教育日 北京东城民警“带料”入校园","https://news.cctv.com/2021/04/18/ARTIucmysMYK9yvOCDH2bQF0210418.shtml","应急始于心，防范始于行，通过此次演练，提升了全体师生应对突发事件的能力，增强了师生的自我保护意识。","全民国家安全教育日","2021-04-18","法治","2021-04-24 17:05:14"
"电信网络诈骗瞄上学生 家长需当心","https://news.cctv.com/2021/04/18/ARTIuDKOtJr7KehI8S7Y418r210418.shtml","低价出售电子产品、扫码领取虚拟礼物、帮助解锁微信号……电信网络诈骗无处不在，骗子们甚至还把目标瞄向了未成年人。","诈骗犯罪,网络诈骗,青少年","2021-04-18","法治","2021-04-24 17:05:14"
"“跑分”洗钱超2亿！沈阳警方打掉3个犯罪团伙","https://news.cctv.com/2021/04/17/ARTIAd5p4hMQCobXRT4ZonWd210417.shtml","近日，沈阳警方连续打掉了3个从境外诈骗窝点回流至境内的洗钱、“跑分”犯罪团伙，抓获犯罪嫌疑人20名，缴获涉案银行卡163张、手机50部、电脑6台。","沈阳警方,犯罪团伙,犯罪事实","2021-04-17","法治","2021-04-24 17:05:14"
"高空抛物入刑 治理“祸从天降”仍面临多重难题","https://news.cctv.com/2021/04/17/ARTIWGlZy8oZqIDV76DmcZNF210417.shtml","行走路上，“祸从天降”。高空抛物给群众生命财产造成的损害令人深恶痛绝。","高空抛物","2021-04-17","法治","2021-04-24 17:05:14"
"“男生被逼下跪、扇耳光”后续：分管副校长被停职处理","https://news.cctv.com/2021/04/16/ARTIGNFZolQroedfBaGlvTbw210416.shtml","近日，一段男生疑遭校园欺凌的视频引起关注，在这段10多分钟的视频中，涉事男孩被多人围住，其间施暴者多次扇其耳光、脚踹，甚至还打断了一根拇指粗细的棍子，并反复要求被打男孩下跪道歉。","副校长,扇耳光,男生","2021-04-16","法治","2021-04-24 17:05:14"
"集中曝光！这些地方被中央生态环保督察组抓了典型","https://news.cctv.com/2021/04/16/ARTIL8H3aNZonCNfaBJX4biM210416.shtml","第二轮第三批中央生态环境保护督察组16日对8个典型案例进行集中公开通报。","督察组,收集率,生态环保","2021-04-16","法治","2021-04-24 17:05:14"
"人工智能助力司法裁判 “人机合作”或将成为审判新常态","https://news.cctv.com/2021/04/16/ARTIw8l0PgM3ZQEwMJWq3UPp210416.shtml","《法院信息化蓝皮书》结合法院信息化中的深刻实践，对人工智能在司法审判领域的应用进行了全方位的评估和分析。","司法审判,人工智能,法院信息化","2021-04-16","法治","2021-04-24 17:05:14"
"郭某某涉嫌销售有毒、有害食品罪 被上海铁路运输检察院批捕","https://news.cctv.com/2021/04/16/ARTIQcZVecum9CVdB0cBnPpe210416.shtml","4月16日，上海铁路运输检察院对郭某某、汪某某以涉嫌销售有毒、有害食品罪批准逮捕。","有害食品罪,销售有毒,郭某某","2021-04-16","法治","2021-04-24 17:05:14"
"多部门严查不合理医疗检查 将开展专项治理行动","https://news.cctv.com/2021/04/16/ARTI8waATymu5ft5frzgsagV210416.shtml","近日，国家卫健委等有关部门联合印发了《不合理医疗检查专项治理行动工作方案》。国家卫健委、市场监管总局、国家医保局、国家中医药局、国家药监局等部门，将对各级各类医疗机构、违法违规开展医疗检查的其他机构开展为期1年的不合理医疗检查专...","医疗检查,医疗行为,患者满意度","2021-04-16","法治","2021-04-24 17:05:14"
"公益服务证书在网上明码标价出售 互联网成“公益造假”重灾区","https://news.cctv.com/2021/04/16/ARTIcXwoi8CBi0EEjRuomcpA210416.shtml","互联网交易平台中有不少商家涉嫌伪造、贩卖公益证书。证书还被分为官方版、精装版、普通版等多种类型。有的商品链接中还有“高级防伪，唯一证书编号”等字样。","公益,证书,大学生","2021-04-16","法治","2021-04-24 17:05:14"
"国家安全领域立法取得显著进展","https://news.cctv.com/2021/04/15/ARTIq7nEP6CKK79drSQERMpj210415.shtml","全国人大及其常委会围绕党和国家工作大局，顺应人民期盼，加快立法步伐，不断提高立法质量和效率，国家安全领域立法取得显著进展。","立法,国家安全,全国人大","2021-04-15","法治","2021-04-24 17:05:14"
"我国连续4年多未发生暴恐案事件 反恐怖斗争态势持续向好","https://news.cctv.com/2021/04/15/ARTIUg6W1pSIn33FPUL9aNUH210415.shtml","公安部新闻发言人李国忠15日介绍，公安机关坚持以维护政权安全、制度安全为核心，坚决捍卫国家政治安全。深入开展反分裂反恐怖斗争，加强反恐国际合作，始终保持对暴力恐怖活动的严打高压态势，我国反恐怖斗争态势持续向好，连续4年多未发生暴...","中国,反恐斗争,持续向好","2021-04-15","法治","2021-04-24 17:05:14"
"公安部：全国刑事案件立案总量连续5年下降","https://news.cctv.com/2021/04/15/ARTI2nmAYrdj9jwKUCpiBoiY210415.shtml","4月15日，公安部召开新闻发布会，通报全国公安机关全力维护国家安全和社会大局稳定工作实效。","反恐怖,公安部","2021-04-15","法治","2021-04-24 17:05:14"
"公安部：我国连续4年多未发生暴恐案事件 反恐怖斗争态势持续向好","https://news.cctv.com/2021/04/15/ARTI8fph0hzS3IEMBz2GEbkt210415.shtml","4月15日，公安部召开新闻发布会，通报全国公安机关全力维护国家安全和社会大局稳定工作实效。","反恐怖斗争,公安机关","2021-04-15","法治","2021-04-24 17:05:14"
"影视类短视频“先授权后使用”还有多远","https://news.cctv.com/2021/04/15/ARTIiUgtuhNOHTgkbitI1Pid210415.shtml","“5分钟看完××电影”“××带你快速看大片”，合法吗？侵权吗？联合声明的发布，让不少人开始重新审视剪辑、切条、搬运、传播的影视类短视频。","短视频,侵权,盗版","2021-04-15","法治","2021-04-24 17:05:14"
"成都一派出所有只“警猫” 能抓耗子还能调解纠纷","https://news.cctv.com/2021/04/15/ARTIB8xqfyBxYWXYJWMrNnls210415.shtml","警犬大家见得多了，警猫你见过吗？毛色白、黄、黑相间，身穿一件黑色的小马甲，马甲一边写着“我很乖不咬人”，一边写着“黄瓦警猫”——这就是成都市公安局青羊分局黄瓦街派出所的大明星警猫“瓦宝”。","调解室,耗子,街派出所","2021-04-15","法治","2021-04-24 17:05:14"
"西藏自治区卫生健康委员会原党组书记、副主任王云亭被开除党籍和公职","https://news.cctv.com/2021/04/14/ARTIYZYX0HRe9xZCGDvfEQNp210414.shtml","日前，西藏自治区纪委监委对自治区卫生健康委员会原党组书记、副主任王云亭严重违纪违法问题进行了立案审查调查。","王云亭,西藏","2021-04-14","法治","2021-04-24 17:05:14"
"中粮集团有限公司原党组成员、总会计师骆家駹贪污、受贿案一审开庭","https://news.cctv.com/2021/04/14/ARTIGMoA0AWaLnm4m8DP0FFl210414.shtml","2021年4月14日，河北省邯郸市中级人民法院一审公开开庭审理了中粮集团有限公司原党组成员、总会计师骆家駹贪污、受贿一案。","骆家駹,中粮集团","2021-04-14","法治","2021-04-24 17:05:14"
"将灭火器喷口塞人口中！上海宣判一起催收非法债务罪案","https://news.cctv.com/2021/04/14/ARTIevUyrTTSNDWTt0YN2aT8210414.shtml","记者从上海市静安区人民法院获悉，该院13日以催收非法债务罪，分别判处被告人顾某、陈某有期徒刑6个月，并处罚金2000元至3000元。","灭火器,催收非法债务罪","2021-04-14","法治","2021-04-24 17:05:14"
"黑龙江省黑河市人大常委会原党组书记、副主任何宝顺接受纪律审查和监察调查","https://news.cctv.com/2021/04/14/ARTIocjLBdlMAmwKbTxTPdjv210414.shtml","黑龙江省黑河市人大常委会原党组书记、副主任何宝顺涉嫌严重违纪违法，主动投案，目前正接受纪律审查和监察调查。","黑河市,何宝顺","2021-04-14","法治","2021-04-24 17:05:14"
"辽宁省人民检察院原党组副书记、副检察长宋兴伟被开除党籍和公职","https://news.cctv.com/2021/04/14/ARTIkp2Di57750wzEbwuUYDf210414.shtml","日前，经辽宁省委批准，辽宁省纪委监委对辽宁省人民检察院原党组副书记、副检察长宋兴伟涉嫌严重违纪违法问题进行了立案审查调查。","辽宁省,宋兴伟","2021-04-14","法治","2021-04-24 17:05:14"
"员工为帮公司追债打“假官司” 虚假诉讼当庭现形","https://news.cctv.com/2021/04/14/ARTIa3rhF0BE9WCph1huYSro210414.shtml","如果不是一审法官认真甄别证据，这起被告缺席的民间借贷案，也许现在已经进入了执行程序。","虚假诉讼,虚假陈述,据实陈述","2021-04-14","法治","2021-04-24 17:05:14"
"女子网络实名举报丈夫行贿官员违规经营 廊坊市纪委回应","https://news.cctv.com/2021/04/13/ARTIKjcXxYWB5adkO1TkEZMc210413.shtml","廊坊市纪委监委13日在官网发布通报称，4月11日，微博用户“廊坊市赵晨菲”发微博实名举报自己丈夫廊坊市审计局金融科李勃良行贿官员、包养“小三”、违规经营等情况。","纪委,行贿,网络实名","2021-04-13","法治","2021-04-24 17:05:14"
"顶格罚款200万！北京对360搜索发布虚假违法广告案作出处罚","https://news.cctv.com/2021/04/13/ARTIxlj27akmq2ZvB1ZAYLYu210413.shtml","北京市市场监管局今天（13日）对今年中央电视台3·15晚会曝光的360搜索发布虚假违法广告案完成立案调查，对北京好搜点睛科技有限公司依法作出罚款200万元的行政处罚决定。","虚假违法广告,广告代理商,广告市场","2021-04-13","法治","2021-04-24 17:05:14"
"佛山交警回应高速“天量罚单”：相关路段立即优化改进","https://news.cctv.com/2021/04/13/ARTIB6Lb2SswgW8C3kNmiqQf210413.shtml","佛山市公安局交通警察支队发布的最新情况通报称，近日，网民反映驶经佛山市辖区广台高速公路43公里200米处被“电子警察”抓拍，认为该路段设计不合理、标志标线设置不完善。","电子警察,优化改进,交警部门","2021-04-13","法治","2021-04-24 17:05:14"
"虚构业务、虚假发票套取资金体外使用……财政部处罚19家医药企业","https://news.cctv.com/2021/04/12/ARTIEbUKGBNkJSjjDigJ7EEM210412.shtml","财政部网站消息，近日《财政部发布医药企业会计信息质量检查公告》发布。","财政部,医药营销,发票报销","2021-04-12","法治","2021-04-24 17:05:14"
"北京警方：男子辱骂、推搡民警涉“袭警罪”被批捕","https://news.cctv.com/2021/04/12/ARTIkrlFyjj1ub25zca1Vhnf210412.shtml","据北京市海淀公安分局官方微博消息，3月1日，马某与朋友在海淀区某饭店聚餐，其朋友因醉酒倒地不醒，群众报警求助。","袭警罪,民警,马某","2021-04-12","法治","2021-04-24 17:05:14"
"最高检依法对史文清决定逮捕","https://news.cctv.com/2021/04/12/ARTI4b0CzU8kJXHplaNNl7yp210412.shtml","江西省人大常委会原党组成员、副主任史文清涉嫌受贿一案，由国家监察委员会调查终结，移送检察机关审查起诉。日前，最高人民检察院依法以涉嫌受贿罪对史文清作出逮捕决定。该案正在进一步办理中。","史文清,逮捕,最高检","2021-04-12","法治","2021-04-24 17:05:14"
"制销有毒有害食品涉案金额达5000万余元 郭某某等75人被抓","https://news.cctv.com/2021/04/12/ARTIFk5F5NLF1WnBAcXM1y2u210412.shtml","据上海市公安局官方微博消息，2020年12月，上海浦东公安分局经侦支队收到一条线索：有人在网上销售假减肥药。","西布曲明,保健食品,销售有毒","2021-04-12","法治","2021-04-24 17:05:14"
"非法出租微信号形成利益链？“追星群”衍生出电诈团伙","https://news.cctv.com/2021/04/11/ARTIn1BTe2hwtT0EqVeGobmM210411.shtml","“追星群”里，有人加你微信，提供“出租微信号赚外快”业务……遇到这种情况，要小心，出租后的微信账号有可能用来违法犯罪。","星群,天真,团伙成员","2021-04-11","法治","2021-04-24 17:05:14"
"“人脸识别第一案”二审宣判","https://news.cctv.com/2021/04/10/ARTIyIB4yLJPUV26Zz8IcIZ6210410.shtml","杭州市中级人民法院9日通报称，2021年4月9日下午，杭州中院就郭兵与杭州野生动物世界有限公司（以下简称野生动物世界）服务合同纠纷二审案件，依法公开宣判。","人脸识别,郭兵,生物信息","2021-04-10","法治","2021-04-24 17:05:14"
"2020年破获电诈案件32.2万起 为群众挽回经济损失1870余亿元","https://news.cctv.com/2021/04/09/ARTIcoiFWYbvZX2uJW3FKBhO210409.shtml","记者从公安部获悉，2020年以来，公安部与有关部门全力推动打击治理电信网络诈骗违法犯罪工作取得明显成效。","破获,经济损失,诈骗","2021-04-09","法治","2021-04-24 17:05:14"
"今年第七“虎”：山西省副省长、省公安厅厅长刘新云被查","https://news.cctv.com/2021/04/09/ARTIDBrNtCQmv6T5gnVaDI8F210409.shtml","4月9日，中央纪委国家监委网站通报称，山西省副省长、省公安厅厅长刘新云涉嫌严重违纪违法，目前正接受中央纪委国家监委纪律审查和监察调查。","刘新云,省公安厅,山西省","2021-04-09","法治","2021-04-24 17:05:14"
"国家文物局、文化和旅游部：坚决刹住滥建山寨文物之风","https://news.cctv.com/2021/04/09/ARTI1eATWSGfQ1AC8glBSlU7210409.shtml","记者9日从国家文物局获悉，为维护文物真实性和历史文化遗产尊严，国家文物局、文化和旅游部近日印发通知，明确要求坚决刹住滥建山寨文物之风。","国家文物局,旅游部,山寨","2021-04-09","法治","2021-04-24 17:05:14"
"2020年破获电诈案件32.2万起 为群众挽回经济损失1870余亿元","https://news.cctv.com/2021/04/09/ARTIu9jTKSRkOdAaJsnDkOXT210409.shtml","记者从公安部获悉，2020年以来，公安部与有关部门全力推动打击治理电信网络诈骗违法犯罪工作取得明显成效。","破获,经济损失,抓获","2021-04-09","法治","2021-04-24 17:05:14"
"贵州省水利投资有限公司副总经理苏永泓接受审查调查","https://news.cctv.com/2021/04/09/ARTIaFVfncWJYI1saNsIylbr210409.shtml","据贵州省纪委监委消息：贵州省水利投资（集团）有限责任公司副总经理苏永泓涉嫌严重违纪违法，目前正接受贵州省纪委监委纪律审查和监察调查。","水利,苏永泓,省纪委","2021-04-09","法治","2021-04-24 17:05:14"
"北京严查房地产市场违规行为 阿里旗下“闲鱼网”被约谈","https://news.cctv.com/2021/04/09/ARTInLXTxx2QTkKGZWfviD5B210409.shtml","莫斯科时间9日10时42分，俄罗斯联盟-2.1a型运载火箭从位于哈萨克斯坦的拜科努尔航天中心顺利发射，将“联盟MS-18”号载人飞船送往国际空间站。","约谈,房地产市场,房源信息","2021-04-09","法治","2021-04-24 17:05:14"
"团伙走私大米6700余吨 主犯终审获刑12年","https://news.cctv.com/2021/04/09/ARTIE089vMzqhLLecuyPQCNn210409.shtml","2019年4月2日，水口海关缉私分局联合水口边境派出所在崇左市龙州县水口镇开展查缉行动，现场查扣走私进境的越南大米2.76吨，查扣涉案运输工具2辆，抓获涉案人员2名。","大米,走私,主犯","2021-04-09","法治","2021-04-24 17:05:14"
"向慧故意杀人案一审开庭：作案细节公开 将择期宣判","https://news.cctv.com/2021/04/09/ARTIz9ZCLSfciPaZ1i7mHmUB210409.shtml","4月9日上午，湖南省长沙市中级人民法院对被告人向慧涉嫌故意杀人刑事附带民事诉讼一案进行公开开庭审理。","周春梅,宣判,作案","2021-04-09","法治","2021-04-24 17:05:14"
"去年以来我国打掉网络赌博平台3400余个","https://news.cctv.com/2021/04/09/ARTIJzfrUgJRPNn1vjbpfHGw210409.shtml","2020年以来，在党中央坚强领导下，公安部与有关部门持续推进打击治理跨境赌博工作，不断巩固扩大打击治理成果，坚决遏制跨境赌博犯罪乱象，共侦办各类跨境赌博及相关犯罪案件1.7万余起，打掉网络赌博平台3400余个。","赌博犯罪,跨境,赌博案件","2021-04-09","法治","2021-04-24 17:05:14"
"打造民族普法品牌 “法治三月三”唱响壮乡普法最强音","https://news.cctv.com/2021/04/09/ARTIALJJIei0v5gTF5LM3Xk5210409.shtml","近年来，广西司法厅依托红色文化、民族文化、边疆文化、山水文化资源富集的优势，找准传统文化习俗与现代法治精神的契合点，结合“壮族三月三”传统节庆活动，着力建设富有广西地方和民族特色的社会主义法治文化体系，打造出兼具现代法治要素和地...","法治信仰,三月三,法治宣传","2021-04-09","法治","2021-04-24 17:05:14"
"《经济半小时》告破：400亿“币圈”骗局","https://news.cctv.com/2021/04/09/ARTIoejEfv9B0HYiqYS6UDeV210409.shtml","Plus Token这个虚拟币钱包在短短一年多的时间里，席卷全球100多个国家和地区，参与人数超过200多万人，传销层级多达3000余层。它背后的始作俑者是谁？结局如何？本期节目为您揭秘这个400亿“币圈”骗局。","告破,400亿,币圈","2021-04-09","法治","2021-04-24 17:05:14"
"看似饮料冲剂 实际内藏冰毒！","https://news.cctv.com/2021/04/08/ARTI9p2HkoUPj5ywURnM2y6T210408.shtml","近日，青岛海关在一进境邮件中查获了210克夹藏在进境饮料冲剂中的冰毒。海关缉私部门和公安禁毒支队联合行动，迅速将犯罪嫌疑人抓获。","冲剂,冰毒,饮料","2021-04-08","法治","2021-04-24 17:05:14"
"每条3元！电商、快递员贩卖公民个人信息获利近万元被刑拘","https://news.cctv.com/2021/04/08/ARTIs04fselvtcoVtHP9j2iZ210408.shtml","电商平台商家、快递员利用职业之便，非法收集公民个人信息3000余条，平均每条价值约3元。","电商,个人信息","2021-04-08","法治","2021-04-24 17:05:14"
"【记者调查】占卜算命风靡网络 忽悠式敛财套路多","https://news.cctv.com/2021/04/08/ARTI7Zr7mvvlkHmmMnGhvyv8210408.shtml","“鼻准丰隆隐秀、山根直贯印堂，其相理十分优秀……主个性宽宏慈善、吃苦耐劳，中年事业有成。作为面相的‘中岳’，鼻子有怎样的骨相，容貌便会具备怎样的气质，尤其这种天然的骨相美更经得起打量，如今走红称得上是天道酬勤。”","占卜,网络服务提供者,网络欺诈","2021-04-08","法治","2021-04-24 17:05:14"
